iteration;acquisition_type;ground_truth_method;use_transfer_learning;prior_strength;outliers_enabled;outlier_fraction;outlier_type;outlier_magnitude;mse;rmse_h;r2;crps;coverage_high_region;posterior_mean;true_best;observed_best;true_value_at_best_observed;true_value_at_model_optimum;regret;exploitative_regret;CI_size_avg;coverage_95;seed;num_init;batch_size;noise_level;noise_strategy;gt_config
1;qUCB;linear;False;;True;0.05;random;3.0;0.004874482128637293;0.34573498535551817;0.23503773681590978;0.03710941074791565;0.3333333333333333;0.46791320113474705;0.5297736425260499;0.4812863513969854;0.47592980980156685;0.47409898116284144;0.05567466136320842;0.05384383272448301;0.12036071121468492;1.0;0;5;1;0.03;observation_noise;
2;qUCB;linear;False;;True;0.05;random;3.0;0.004097762092289679;0.1165011819044118;0.2869554212848098;0.036897686175810684;0.0;0.4675647776244209;0.5297736425260499;0.4812863513969854;0.47592980980156685;0.47471876936602786;0.055054873160022;0.05384383272448301;0.10735689733036942;1.0;0;5;1;0.03;observation_noise;
3;qUCB;linear;False;;True;0.05;random;3.0;0.004654264629692923;0.25091717576106576;0.26972471232087925;0.03599698861082689;0.9565217391304348;0.46873084689186917;0.5297736425260499;0.4812863513969854;0.47592980980156685;0.47552630238725274;0.05424734013879712;0.05384383272448301;0.09442278489416625;0.7142857142857143;0;5;1;0.03;observation_noise;
4;qUCB;linear;False;;True;0.05;random;3.0;0.0037482185050198187;0.1266375900029626;0.32268100328233407;0.03719520061576385;0.0;0.47117415958562986;0.5297736425260499;0.4812863513969854;0.47592980980156685;0.4737073538061139;0.056066288719935964;0.05384383272448301;0.08491233108605029;0.875;0;5;1;0.03;observation_noise;
5;qUCB;linear;False;;True;0.05;random;3.0;0.00361893396307203;0.22892388352211016;0.34127694422407195;0.03614264630432409;0.0;0.47003200604596174;0.5297736425260499;0.48464049117522817;0.4598699069719815;0.473383202967323;0.05639043955872686;0.06990373555406837;0.0760478511130427;1.0;0;5;1;0.03;observation_noise;
6;qUCB;linear;False;;True;0.05;random;3.0;0.0032383350452449104;0.15142088919887287;0.38336572090255694;0.033998644868985003;0.0;0.4745052315057297;0.5297736425260499;0.49534834605821676;0.447051544361451;0.46065378316494826;0.0691198593611016;0.08272209816459886;0.07008397102540162;1.0;0;5;1;0.03;observation_noise;
7;qUCB;linear;False;;True;0.05;random;3.0;0.004021125733301175;0.28340335801365557;0.32562199311803175;0.03536606580894598;0.0;0.4855074763063556;0.5297736425260499;0.49534834605821676;0.447051544361451;0.44140138726606776;0.0883722552599821;0.08272209816459886;0.06543345613466688;0.8181818181818182;0;5;1;0.03;observation_noise;
8;qUCB;linear;False;;True;0.05;random;3.0;0.0034180706305685466;0.32634277114431787;0.3740845335733902;0.03361975659770196;0.0;0.4784633257708605;0.5297736425260499;0.49534834605821676;0.447051544361451;0.4569980690382672;0.07277557348778269;0.08272209816459886;0.061088554574917485;0.75;0;5;1;0.03;observation_noise;
9;qUCB;linear;False;;True;0.05;random;3.0;0.003241583511715544;0.24890627528142234;0.38928700974116914;0.0343114320453468;0.0;0.48009715562386845;0.5297736425260499;0.49534834605821676;0.447051544361451;0.46286902214632597;0.06690462037972389;0.08272209816459886;0.05679459629289306;0.6923076923076923;0;5;1;0.03;observation_noise;
10;qUCB;linear;False;;True;0.05;random;3.0;0.004025881151810162;0.29097765941256143;0.36432869578965665;0.03248757258088669;0.0;0.4796762774779825;0.5297736425260499;0.49534834605821676;0.447051544361451;0.458431503541607;0.07134213898444286;0.08272209816459886;0.052788955820152965;0.7142857142857143;0;5;1;0.03;observation_noise;
