iteration;acquisition_type;ground_truth_method;use_transfer_learning;prior_strength;outliers_enabled;outlier_fraction;outlier_type;outlier_magnitude;mse;rmse_h;r2;crps;coverage_high_region;posterior_mean;true_best;observed_best;true_value_at_best_observed;true_value_at_model_optimum;regret;exploitative_regret;CI_size_avg;coverage_95;seed;num_init;batch_size;noise_level;noise_strategy;gt_config
1;qUCB;linear;False;;False;0.0;none;0.0;0.0034564059175085206;0.123384929407715;0.3123252368300563;0.03425172002730242;1.0;0.46917849941221246;0.5319407695953013;0.48362596934225544;0.4882945762995659;0.48852948948851893;0.04341128010678241;0.043646193295735436;0.11168594197801993;1.0;2;5;1;0.03;observation_noise;
2;qUCB;linear;False;;False;0.0;none;0.0;0.0034520851550982217;0.12327388722411631;0.3131848810206199;0.034687014673897267;1.0;0.469693024055614;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4885731068818714;0.043367662713429955;0.040488069761627665;0.10360453680772258;1.0;2;5;1;0.03;observation_noise;
3;qUCB;linear;False;;False;0.0;none;0.0;0.003259032374190173;0.1096150621448182;0.35159400557331044;0.03605609477557446;1.0;0.4992132889334414;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4975453846568252;0.03439538493847616;0.040488069761627665;0.12210543445322096;1.0;2;5;1;0.03;observation_noise;
4;qUCB;linear;False;;False;0.0;none;0.0;0.0030784627344265054;0.1010940838741778;0.3875195268296998;0.0354430595115144;1.0;0.5040793503249429;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.5044165742610738;0.027524195334227564;0.040488069761627665;0.11654132701513678;1.0;2;5;1;0.03;observation_noise;
5;qUCB;linear;False;;False;0.0;none;0.0;0.0031838921790270204;0.11171574421398013;0.3665436431872314;0.035014378761851775;1.0;0.49879959832814647;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4927174549356419;0.03922331465965945;0.040488069761627665;0.11016914509956945;1.0;2;5;1;0.03;observation_noise;
6;qUCB;linear;False;;False;0.0;none;0.0;0.003205813889313934;0.1127325038839139;0.36218217428293675;0.03459194346819118;1.0;0.4969856298626196;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4935122515170484;0.03842851807825293;0.040488069761627665;0.09972759034473104;1.0;2;5;1;0.03;observation_noise;
7;qUCB;linear;False;;False;0.0;none;0.0;0.003205673636481338;0.11257329754144973;0.3622100785093908;0.034289675557987204;1.0;0.4983133153626149;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4929186583042941;0.039022111291007244;0.040488069761627665;0.09145037948098057;1.0;2;5;1;0.03;observation_noise;
8;qUCB;linear;False;;False;0.0;none;0.0;0.003171795734113924;0.11153783867803062;0.36895031071683915;0.033831894680294586;1.0;0.4985465296374672;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.49262932953421323;0.03931144006108811;0.040488069761627665;0.08413470525716747;1.0;2;5;1;0.03;observation_noise;
9;qUCB;linear;False;;False;0.0;none;0.0;0.003274310693601174;0.1127453335339654;0.3485542831178622;0.034025033884103655;1.0;0.5003789110582098;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.48884931627884043;0.043091453316460915;0.040488069761627665;0.07878541798253622;1.0;2;5;1;0.03;observation_noise;
10;qUCB;linear;False;;False;0.0;none;0.0;0.003371284798326316;0.11443123631414175;0.32926064513319253;0.034076895551621696;1.0;0.5000707423451791;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4907061126606307;0.041234656934670655;0.040488069761627665;0.07421483192432612;1.0;2;5;1;0.03;observation_noise;
11;qUCB;linear;False;;False;0.0;none;0.0;0.003281648729002676;0.1119539868618508;0.3470943325572817;0.033440127393294404;1.0;0.49761676846201014;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.48797825737977296;0.04396251221552838;0.040488069761627665;0.07024825871824399;1.0;2;5;1;0.03;observation_noise;
12;qUCB;linear;False;;False;0.0;none;0.0;0.003261700678680755;0.11091549711331576;0.3510631287890382;0.033439320181358374;1.0;0.5000825691673743;0.5319407695953013;0.5565743277839923;0.4914526998336737;0.4791851980947204;0.05275557150058097;0.040488069761627665;0.0698067437204696;1.0;2;5;1;0.03;observation_noise;
