iteration;acquisition_type;ground_truth_method;use_transfer_learning;prior_strength;outliers_enabled;outlier_fraction;outlier_type;outlier_magnitude;mse;rmse_h;r2;crps;coverage_high_region;posterior_mean;true_best;observed_best;true_value_at_best_observed;true_value_at_model_optimum;regret;exploitative_regret;CI_size_avg;coverage_95;seed;num_init;batch_size;noise_level;noise_strategy;gt_config
1;qUCB;linear;False;;False;0.0;none;0.0;0.004053982746499285;0.13851320315304744;0.1906119994709785;0.03595613702874006;0.09090909090909091;0.38798557660684435;0.5379400865636331;0.39302289121835693;0.3538401165806129;0.3533126046945676;0.18462748186906552;0.18409996998302025;0.0794398591520509;1.0;4;5;1;0.03;observation_noise;
2;qUCB;linear;False;;False;0.0;none;0.0;0.004092338115007556;0.13980071121303397;0.18295425227082818;0.03628867586571373;0.0;0.38411247556568573;0.5379400865636331;0.39302289121835693;0.3538401165806129;0.40528918177366713;0.132650904789966;0.18409996998302025;0.06754359515327558;0.8333333333333334;4;5;1;0.03;observation_noise;
3;qUCB;linear;False;;False;0.0;none;0.0;0.004107767901415032;0.13942015084879603;0.17987365603994354;0.03652129262444242;0.0;0.38730737076767424;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.4047342302285586;0.13320585633507454;0.18093507921064256;0.060158998899459526;0.5714285714285714;4;5;1;0.03;observation_noise;
4;qUCB;linear;False;;False;0.0;none;0.0;0.0042747590512257575;0.1378897342777059;0.14653344684244263;0.03705675832525604;0.0;0.4169441155608498;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.3551426840504562;0.18279740251317694;0.18093507921064256;0.0649874322506542;0.625;4;5;1;0.03;observation_noise;
5;qUCB;linear;False;;False;0.0;none;0.0;0.0048466065658189115;0.14966642044822526;0.032362631279963305;0.03957730373423787;0.0;0.4165229908631459;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.3577702289999754;0.18016985756365772;0.18093507921064256;0.06299030897028893;0.6666666666666666;4;5;1;0.03;observation_noise;
6;qUCB;linear;False;;False;0.0;none;0.0;0.004214967059489556;0.14112036440830397;0.15847107057327925;0.03695760690364107;0.0;0.3755780608070309;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.35078399213587774;0.18715609442775538;0.18093507921064256;0.08156837432152848;1.0;4;5;1;0.03;observation_noise;
7;qUCB;linear;False;;False;0.0;none;0.0;0.004174105186574152;0.1404691297829639;0.16662924777455845;0.036937685591771796;0.0;0.37567598963628324;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.34977965748453077;0.18816042907910235;0.18093507921064256;0.07824688514488203;1.0;4;5;1;0.03;observation_noise;
8;qUCB;linear;False;;False;0.0;none;0.0;0.004162914892122189;0.1403857380492555;0.16886341861794119;0.03704610821802788;0.0;0.3754758610889563;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.3500610324409418;0.18787905412269135;0.18093507921064256;0.07298429117499076;0.75;4;5;1;0.03;observation_noise;
9;qUCB;linear;False;;False;0.0;none;0.0;0.004144278997078494;0.14036908374378765;0.17258412261958256;0.037137493409085995;0.0;0.3744311272740507;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.4054434730162224;0.1324966135474107;0.18093507921064256;0.06849109399755247;0.7692307692307693;4;5;1;0.03;observation_noise;
10;qUCB;linear;False;;False;0.0;none;0.0;0.004130011055918693;0.1404619224269614;0.17543275348190412;0.03728052284503669;0.0;0.37304865847834623;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.4061266447603108;0.13181344180332233;0.18093507921064256;0.06611073040333422;0.7857142857142857;4;5;1;0.03;observation_noise;
11;qUCB;linear;False;;False;0.0;none;0.0;0.00415626615025058;0.14119096725015515;0.17019085689925662;0.03763356903447825;0.0;0.37302710947292644;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.35106650718830745;0.18687357937532567;0.18093507921064256;0.0637253221728606;0.8;4;5;1;0.03;observation_noise;
12;qUCB;linear;False;;False;0.0;none;0.0;0.004159330863780668;0.14161938173349883;0.16957897902225916;0.03780725454501169;0.0;0.3714742158550667;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.40589854848438217;0.13204153807925095;0.18093507921064256;0.06184740348600016;0.875;4;5;1;0.03;observation_noise;
13;qUCB;linear;False;;False;0.0;none;0.0;0.004077844387285255;0.13916895634301432;0.1858479619965282;0.03738805024943673;0.0;0.37149186269451867;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.39846266683698406;0.13947741972664907;0.18093507921064256;0.05972708418475935;0.8823529411764706;4;5;1;0.03;observation_noise;
14;qUCB;linear;False;;False;0.0;none;0.0;0.0041003057767464695;0.14006945085144767;0.18136348827230853;0.03769349613186883;0.0;0.37145650741088776;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.4129857377879804;0.1249543487756527;0.18093507921064256;0.05732229131347615;0.8333333333333334;4;5;1;0.03;observation_noise;
15;qUCB;linear;False;;False;0.0;none;0.0;0.004033098399533956;0.13856919149645577;0.1947816126365054;0.03746601913029599;0.0;0.3714063328182187;0.5379400865636331;0.44016220028534886;0.35700500735299057;0.4267510584408883;0.11118902812274484;0.18093507921064256;0.05538109134198079;0.7368421052631579;4;5;1;0.03;observation_noise;
16;qUCB;linear;False;;False;0.0;none;0.0;0.0038787639077827287;0.13394196832186775;0.2255948877544267;0.036329026473453;0.0;0.400294310301325;0.5379400865636331;0.4552904027466991;0.46003279720387896;0.4542021514051411;0.08373793515849204;0.07790728935975416;0.05628799051830789;0.75;4;5;1;0.03;observation_noise;
17;qUCB;linear;False;;False;0.0;none;0.0;0.003769596180700394;0.1285661176648598;0.24739050304701005;0.03523491900542531;0.0;0.42625171262219663;0.5379400865636331;0.4552904027466991;0.46003279720387896;0.4659533920696296;0.07198669449400352;0.07790728935975416;0.05793859770885934;0.8095238095238095;4;5;1;0.03;observation_noise;
