"iteration";"acquisition_type";"ground_truth_method";"use_transfer_learning";"prior_strength";"outliers_enabled";"outlier_fraction";"outlier_type";"outlier_magnitude";"mse";"rmse_h";"r2";"crps";"coverage_high_region";"posterior_mean";"true_best";"observed_best";"true_value_at_best_observed";"true_value_at_model_optimum";"regret";"exploitative_regret";"CI_size_avg";"coverage_95";"seed";"num_init";"batch_size";"noise_level";"noise_strategy";"gt_config"
"1";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.0036464034689980456";"0.11959632339553365";"0.2710050750298094";"0.03820846774010844";"1.0";"0.4779703740949635";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.42424523050416013";"0.11448326226213018";"0.11546865222163377";"0.1470732638437358";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"2";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.0037832991702648616";"0.1286563716059042";"0.24363666329967082";"0.03759618725077326";"1.0";"0.4473656252829248";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.4175337962518172";"0.12119469651447312";"0.11546865222163377";"0.1321525945333873";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"3";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.003665924851920203";"0.12799751132236037";"0.2671023283371723";"0.03637994549616018";"1.0";"0.44308629319888493";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.42243208280474487";"0.11629640996154544";"0.11546865222163377";"0.12019305910204221";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"4";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.004215859382384971";"0.14117428161634607";"0.1571585206419589";"0.03776362139870911";"1.0";"0.4282571676656318";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.41705818909068815";"0.12167030367560216";"0.11546865222163377";"0.11235160643400507";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"5";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.00395095755239975";"0.1380851334558904";"0.21011812626881654";"0.03618870275696539";"1.0";"0.4219089922788863";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.4181561636763375";"0.1205723290899528";"0.11546865222163377";"0.10714291160970751";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"6";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.003984959288802783";"0.13807468218975788";"0.2033204437060594";"0.03596094217940343";"0.9444444444444444";"0.4174438545772229";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.41513571214459233";"0.12359278062169798";"0.11546865222163377";"0.09776221231168944";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"7";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.003902451719421918";"0.13631098145213444";"0.219815491459731";"0.035363962040303086";"0.8333333333333334";"0.41589301213096924";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.42085625601495896";"0.11787223675133135";"0.11546865222163377";"0.09183123185748858";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"8";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.0039236882971466465";"0.1379709375975952";"0.2155698402264855";"0.035234982520517";"0.6944444444444444";"0.41194808725526655";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.41435247030542155";"0.12437602246086876";"0.11546865222163377";"0.08539568868549596";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"9";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.003961513023223007";"0.13764787411205068";"0.2080078593369623";"0.0352667025250872";"0.5555555555555556";"0.41241330033806034";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.41320426752230033";"0.12552422524398998";"0.11546865222163377";"0.08125590998371811";"1.0";"2";"5";"1";"0.03";"observation_noise";""
"10";"qUCB";"linear";"False";"";"False";"0.0";"none";"0.0";"0.003957827835640573";"0.138988840562235";"0.20874460804510664";"0.03520855393956908";"0.5555555555555556";"0.4147132157830864";"0.5387284927662903";"0.49325709440734833";"0.42325984054465654";"0.40861588413561345";"0.13011260863067686";"0.11546865222163377";"0.07962398345988118";"1.0";"2";"5";"1";"0.03";"observation_noise";""
