iteration;acquisition_type;ground_truth_method;use_transfer_learning;prior_strength;outliers_enabled;outlier_fraction;outlier_type;outlier_magnitude;mse;rmse_h;r2;crps;coverage_high_region;posterior_mean;true_best;observed_best;true_value_at_best_observed;true_value_at_model_optimum;regret;exploitative_regret;CI_size_avg;coverage_95;seed;num_init;batch_size;noise_level;noise_strategy;gt_config
1;qUCB;linear;False;;True;0.05;systematic;3.0;0.004841483307059963;0.2994497075885621;0.21482697390333383;0.03643569454884172;0.5;0.44850802991343575;0.5349631957368222;0.505798338979148;0.4832148259598479;0.4792664303157914;0.05569676542103075;0.05174836977697428;0.08587796988080114;1.0;0;5;1;0.03;observation_noise;
2;qUCB;linear;False;;True;0.05;systematic;3.0;0.005234926393484317;0.2023016690567197;0.1765681109772591;0.03800904059401539;0.0;0.47785583369340606;0.5349631957368222;0.505798338979148;0.4832148259598479;0.4842515284364809;0.05071166730034127;0.05174836977697428;0.0959722924415178;1.0;0;5;1;0.03;observation_noise;
3;qUCB;linear;False;;True;0.05;systematic;3.0;0.0051432749504587115;0.40554409619764487;0.18353881407916328;0.038175481542416;0.0;0.4834188438148652;0.5349631957368222;0.505798338979148;0.4832148259598479;0.48223973224628397;0.05272346349053819;0.05174836977697428;0.09150302427895797;0.8571428571428571;0;5;1;0.03;observation_noise;
4;qUCB;linear;False;;True;0.05;systematic;3.0;0.004338143923136534;0.25955122049683227;0.21966536902700629;0.03735809146304199;0.0;0.48096853751910057;0.5349631957368222;0.505798338979148;0.4832148259598479;0.4840952637769659;0.05086793195985628;0.05174836977697428;0.08398887213774514;0.875;0;5;1;0.03;observation_noise;
5;qUCB;linear;False;;True;0.05;systematic;3.0;0.004591784855118023;0.23291737923904604;0.21987941754889206;0.03701117379478592;0.0;0.4830263014534372;0.5349631957368222;0.505798338979148;0.4832148259598479;0.4831021945319806;0.05186100120484155;0.05174836977697428;0.07577209372198185;1.0;0;5;1;0.03;observation_noise;
6;qUCB;linear;False;;True;0.05;systematic;3.0;0.003997480690785284;0.09993980166475674;0.23663015743150595;0.03656262649235201;0.3333333333333333;0.48490606502609196;0.5349631957368222;0.514813643434796;0.47912760954132544;0.48157646563667544;0.05338673010014672;0.05583558619549672;0.06905898401788244;1.0;0;5;1;0.03;observation_noise;
7;qUCB;linear;False;;True;0.05;systematic;3.0;0.004555667981334003;0.2395556866965191;0.19219354436781966;0.037089983592264564;0.2;0.4951299128129773;0.5349631957368222;0.514813643434796;0.47912760954132544;0.4784207987298176;0.056542397007004586;0.05583558619549672;0.0659071110694943;1.0;0;5;1;0.03;observation_noise;
8;qUCB;linear;False;;True;0.05;systematic;3.0;0.004427771500941724;0.22376373127883722;0.22422399602873588;0.035996923717462936;0.0;0.49841845506057036;0.5349631957368222;0.514813643434796;0.47912760954132544;0.4785668456521073;0.056396350084714886;0.05583558619549672;0.06160928510238558;0.9166666666666666;0;5;1;0.03;observation_noise;
9;qUCB;linear;False;;True;0.05;systematic;3.0;0.003972373085731774;0.09862891266591002;0.23201265220726597;0.03714275412654348;0.625;0.5005449527776474;0.5349631957368222;0.514813643434796;0.47912760954132544;0.479513690620888;0.05544950511593416;0.05583558619549672;0.05798461800103949;0.7692307692307693;0;5;1;0.03;observation_noise;
10;qUCB;linear;False;;True;0.05;systematic;3.0;0.005541251626600679;0.2725789363070051;0.1150323644358634;0.03744125395619238;1.0;0.5005020714719256;0.5349631957368222;0.5349068406321071;0.4754389308597916;0.4785064544292897;0.056456741307532476;0.05952426487703055;0.06308498873326969;0.9285714285714286;0;5;1;0.03;observation_noise;
11;qUCB;linear;False;;True;0.05;systematic;3.0;0.004758894096424162;0.3946357960887784;0.12559574076196767;0.04007327113048548;0.0;0.51004061856674;0.5349631957368222;0.5349068406321071;0.4754389308597916;0.47328192596694074;0.06168126976988142;0.05952426487703055;0.06130338909526802;0.7333333333333333;0;5;1;0.03;observation_noise;
12;qUCB;linear;False;;True;0.05;systematic;3.0;0.005129302080675398;0.3797940748187004;0.12906652348995862;0.039856375600112216;0.0;0.5059214399468337;0.5349631957368222;0.5349068406321071;0.4754389308597916;0.479234934279982;0.05572826145684018;0.05952426487703055;0.058746204178331415;0.5625;0;5;1;0.03;observation_noise;
13;qUCB;linear;False;;True;0.05;systematic;3.0;0.004794816896576609;0.20358910044915257;0.17261619695389463;0.03737462256041143;0.0;0.49631201060723734;0.5349631957368222;0.5349068406321071;0.4754389308597916;0.46914251832304077;0.06582067741378139;0.05952426487703055;0.059937422536500376;0.8823529411764706;0;5;1;0.03;observation_noise;
