iteration;acquisition_type;ground_truth_method;use_transfer_learning;prior_strength;outliers_enabled;outlier_fraction;outlier_type;outlier_magnitude;mse;rmse_h;r2;crps;coverage_high_region;posterior_mean;true_best;observed_best;true_value_at_best_observed;true_value_at_model_optimum;regret;exploitative_regret;CI_size_avg;coverage_95;seed;num_init;batch_size;noise_level;noise_strategy;gt_config
1;qEI;linear;False;;False;0.0;none;0.0;0.0060144310097441705;0.16368628427271556;-0.08325189025567448;0.04555188345052086;0.0;0.3633980072114465;0.5285404950332837;0.43762746534291347;0.43847015957017843;0.4178065290466586;0.1107339659866251;0.09007033546310528;0.07018840965950783;0.4;5;5;1;0.03;observation_noise;
2;qEI;linear;False;;False;0.0;none;0.0;0.0056684700626113875;0.1528713813605141;-0.02094128276361662;0.04285387292903731;0.2222222222222222;0.4254271656600365;0.5285404950332837;0.43762746534291347;0.43847015957017843;0.4402212151467336;0.08831927988655008;0.09007033546310528;0.08502909481425598;0.6666666666666666;5;5;1;0.03;observation_noise;
3;qEI;linear;False;;False;0.0;none;0.0;0.005814638354038896;0.15682836100866526;-0.047267476833806166;0.04368863314912533;0.07407407407407407;0.42215541163912995;0.5285404950332837;0.43762746534291347;0.43847015957017843;0.43560071174859605;0.09293978328468766;0.09007033546310528;0.07940791061586584;0.5714285714285714;5;5;1;0.03;observation_noise;
4;qEI;linear;False;;False;0.0;none;0.0;0.005720939894745149;0.156244718969907;-0.030391560728100675;0.04356239521211003;0.037037037037037035;0.4183391896892932;0.5285404950332837;0.43762746534291347;0.43847015957017843;0.4433503319745571;0.08519016305872662;0.09007033546310528;0.07448911881497156;0.625;5;5;1;0.03;observation_noise;
5;qEI;linear;False;;False;0.0;none;0.0;0.005767022576534437;0.15521268950165792;-0.038691456774031074;0.04381612371362954;0.0;0.3997315428170565;0.5285404950332837;0.4756279388003961;0.49838340788027224;0.4454897404250323;0.0830507546082514;0.030157087153011464;0.07273082871622463;0.6666666666666666;5;5;1;0.03;observation_noise;
6;qEI;linear;False;;False;0.0;none;0.0;0.005685289310595552;0.1485292127582443;-0.023970577162705675;0.04300009413822657;0.18518518518518517;0.4461451673830146;0.5285404950332837;0.48848262668225434;0.5041019728785852;0.5005222588480034;0.02801823618528032;0.02443852215469855;0.07988261626230411;0.7;5;5;1;0.03;observation_noise;
7;qEI;linear;False;;False;0.0;none;0.0;0.0058827581643371134;0.14625943885311843;-0.05953645342524938;0.043643414631461694;0.37037037037037035;0.4646099378546587;0.5285404950332837;0.49595891937882014;0.4986598074705906;0.5066570169544681;0.021883478078815632;0.02988068756269313;0.08039514057426962;0.7272727272727273;5;5;1;0.03;observation_noise;
8;qEI;linear;False;;False;0.0;none;0.0;0.005921430825449522;0.14448421900530428;-0.06650173961497585;0.04379901058858172;0.5185185185185185;0.48648008942929755;0.5285404950332837;0.49595891937882014;0.4986598074705906;0.5032754466058178;0.025265048427465908;0.02988068756269313;0.07977951046393132;0.75;5;5;1;0.03;observation_noise;
9;qEI;linear;False;;False;0.0;none;0.0;0.005530919146693817;0.14233656213298412;0.0038328462325767365;0.04226073624755181;0.4074074074074074;0.4809367214665836;0.5285404950332837;0.49595891937882014;0.4986598074705906;0.5057882498949077;0.022752245138376037;0.02988068756269313;0.07735297393680064;0.7692307692307693;5;5;1;0.03;observation_noise;
10;qEI;linear;False;;False;0.0;none;0.0;0.005495302576775737;0.14121987650519935;0.010247703535898767;0.04211849701010374;0.4074074074074074;0.46681392299983954;0.5285404950332837;0.5154229417764478;0.5013172363575943;0.5058740771965999;0.022666417836683772;0.02722325867568942;0.07459514563199454;0.7857142857142857;5;5;1;0.03;observation_noise;
