Date;Rows Exported;Comment
2025-05-08;17;Initial export from Excel
2025-05-08;17;Initial export from Excel
2025-05-08;17;Initial export from Excel
2025-05-08;0.495617;17;LOI
2025-05-08;0.495617;17;LOI
2025-05-08;0.495617;17;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.495617;20;LOI
2025-05-08;0.495617;20;LOI
2025-05-08;0.495617;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.495617;20;LOI
2025-05-08;0.495617;20;LOI
2025-05-08;0.495617;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;0.493716;20;LOI
2025-05-08;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
2025-05-09;20;Initial export from Excel using target: yield_loi
2025-05-09;0.493716;20;LOI
2025-05-09;0.493716;20;LOI
