Timestamp;Model_Name;Input_Dim;Kernel_Type;Noise_Prior_Range;Mean_MSE_LOOCV;ARD;Number_trainingpoints;Prior_type;Lengthscale_Prior;Noise_value;Notes;Spalte1;Spalte2;Spalte3;;
09.05.25 11:38;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002803;True;15;;;0,000100029;Automated grid search;;0,002803;;;
09.05.25 11:38;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002803;True;15;Gamma;(2.0, 0.5);0.00010002872382880417;Automated grid search;;0,002803;;;
09.05.25 12:31;Matern;4;Matern;(0.0001, 0.2);0.002803;True;15;;(2.0, 0.5);0.00010002872382880417;Test with new kernel config;;0,002803;;;
09.05.25 12:32;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002803;True;15;;;0.00010002872382880417;Automated grid search;;0,002803;;;
09.05.25 12:32;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002803;True;15;Gamma;(1.1, 0.05);0.00010002872382880417;Automated grid search;;0,002803;;;0,010001436
09.05.25 11:38;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003354;True;15;;;0.00010009641205639561;Automated grid search;;0,003354;;;
09.05.25 11:38;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003354;True;15;Gamma;(2.0, 0.5);0.00010009641205639561;Automated grid search;;0,003354;;;
09.05.25 12:32;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003354;True;15;;;0.00010009641205639561;Automated grid search;;0,003354;;;
09.05.25 12:32;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.003354;True;15;Gamma;(1.1, 0.05);0.00010009641205639561;Automated grid search;;0,003354;;;
09.05.25 11:38;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.00316;True;15;;;0.0001003889974131186;Automated grid search;;0,00316;;;
09.05.25 11:38;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.00316;True;15;Gamma;(2.0, 0.5);0.0001003889974131186;Automated grid search;;0,00316;;;
09.05.25 12:32;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.00316;True;15;;;0.0001003889974131186;Automated grid search;;0,00316;;;
09.05.25 12:32;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.00316;True;15;Gamma;(1.1, 0.05);0.0001003889974131186;Automated grid search;;0,00316;;;
09.05.25 11:38;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.002851;False;15;;;0.0001006016658830345;Automated grid search;;0,002851;;;
09.05.25 11:38;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.002851;False;15;Gamma;(2.0, 0.5);0.0001006016658830345;Automated grid search;;0,002851;;;
09.05.25 12:32;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.002851;False;15;;;0.0001006016658830345;Automated grid search;;0,002851;;;
09.05.25 12:32;GP_Matern_1.5;4;Matern;(0.0001, 0.2);0.002851;False;15;Gamma;(1.1, 0.05);0.0001006016658830345;Automated grid search;;0,002851;;;
09.05.25 11:38;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002768;False;15;;;0.00010079294503623394;Automated grid search;;0,002768;;;
09.05.25 11:38;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002768;False;15;Gamma;(2.0, 0.5);0.00010079294503623394;Automated grid search;;0,002768;;;
09.05.25 12:32;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002768;False;15;;;0.00010079294503623394;Automated grid search;;0,002768;;;
09.05.25 12:32;GP_Matern_2.5;4;Matern;(0.0001, 0.2);0.002768;False;15;Gamma;(1.1, 0.05);0.00010079294503623394;Automated grid search;;0,002768;;;
09.05.25 11:38;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003555;False;15;;;0.00010161936883632034;Automated grid search;;0,003555;;;
09.05.25 11:38;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003555;False;15;Gamma;(2.0, 0.5);0.00010161936883632034;Automated grid search;;0,003555;;;
09.05.25 12:32;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003555;False;15;;;0.00010161936883632034;Automated grid search;;0,003555;;;
09.05.25 12:32;GP_Matern_0.5;4;Matern;(0.0001, 0.2);0.003555;False;15;Gamma;(1.1, 0.05);0.00010161936883632034;Automated grid search;;0,003555;;;
09.05.25 11:38;GP_RBF;4;RBF;(0.0001, 0.2);0.00275;True;15;;;0.00041488421517497844;Automated grid search;;0,00275;;;
09.05.25 11:39;GP_RBF;4;RBF;(0.0001, 0.2);0.00275;True;15;Gamma;(2.0, 0.5);0.00041488421517497844;Automated grid search;;0,00275;;;
09.05.25 12:32;GP_RBF;4;RBF;(0.0001, 0.2);0.00275;True;15;;;0.00041488421517497844;Automated grid search;;0,00275;;;
09.05.25 12:32;GP_RBF;4;RBF;(0.0001, 0.2);0.00275;True;15;Gamma;(1.1, 0.05);0.00041488421517497844;Automated grid search;;0,00275;;;
09.05.25 11:39;GP_RBF;4;RBF;(0.0001, 0.2);0.002721;False;15;;;0.0014131724636134888;Automated grid search;;0,002721;;;
09.05.25 11:39;GP_RBF;4;RBF;(0.0001, 0.2);0.002721;False;15;Gamma;(2.0, 0.5);0.0014131724636134888;Automated grid search;;0,002721;;;
09.05.25 12:32;GP_RBF;4;RBF;(0.0001, 0.2);0.002721;False;15;;;0.0014131724636134888;Automated grid search;;0,002721;;;
09.05.25 12:32;GP_RBF;4;RBF;(0.0001, 0.2);0.002721;False;15;Gamma;(1.1, 0.05);0.0014131724636134888;Automated grid search;;0,002721;;;
09.05.25 12:31;GP_Matern_2.5;4;Matern;(0.003, 0.5);0.002796;True;15;;;0.002160934797016646;Automated grid search;;0,002796;;;
